layers;activation;solver;lr;epochs;acc;f1
(100,);tanh;lbfgs;0.1;300;9.93;9.93
(100,);tanh;lbfgs;0.1;500;9.93;9.93
(100,);tanh;lbfgs;0.1;1000;9.93;9.93
(100,);tanh;lbfgs;0.2;200;9.93;9.93
(100,);tanh;lbfgs;0.2;300;9.93;9.93
(100,);tanh;lbfgs;0.2;500;9.93;9.93
(100,);tanh;lbfgs;0.2;1000;9.93;9.93
(100,);tanh;adam;0.001;200;9.93;9.93
(100,);tanh;adam;0.001;300;9.93;9.93
(100,);tanh;adam;0.001;500;9.93;9.93
(100,);tanh;adam;0.001;1000;9.93;9.93
(100,);tanh;adam;0.01;200;9.93;9.93
(100,);tanh;adam;0.01;300;9.93;9.93
(100,);tanh;adam;0.01;500;9.93;9.93
(100,);tanh;adam;0.01;1000;9.93;9.93
(100,);tanh;adam;0.1;200;9.95;9.95
(100,);tanh;adam;0.1;300;9.95;9.95
(100,);tanh;adam;0.1;500;9.93;9.93
(100,);tanh;adam;0.1;1000;9.89;9.89
(100,);tanh;adam;0.2;200;9.95;9.95
(100,);tanh;adam;0.2;300;9.95;9.95
(100,);tanh;adam;0.2;500;9.93;9.93
(100,);tanh;adam;0.2;1000;9.95;9.95
(100,);tanh;sgd;0.001;200;9.91;9.91
(100,);tanh;sgd;0.001;300;9.91;9.91
(100,);tanh;sgd;0.001;500;9.93;9.93
(100,);tanh;sgd;0.001;1000;9.93;9.93
(100,);tanh;sgd;0.01;200;9.95;9.95
(100,);tanh;sgd;0.01;300;9.95;9.95
(100,);tanh;sgd;0.01;500;9.95;9.95
(100,);tanh;sgd;0.01;1000;9.95;9.95
(100,);tanh;sgd;0.1;200;9.93;9.93
(100,);tanh;sgd;0.1;300;9.93;9.93
(100,);tanh;sgd;0.1;500;9.93;9.93
(100,);tanh;sgd;0.1;1000;9.93;9.93
(100,);tanh;sgd;0.2;200;9.93;9.93
(100,);tanh;sgd;0.2;300;9.93;9.93
(100,);tanh;sgd;0.2;500;9.93;9.93
(100,);tanh;sgd;0.2;1000;9.93;9.93
(100,);relu;lbfgs;0.001;200;9.95;9.95
(100,);relu;lbfgs;0.001;300;9.95;9.95
(100,);relu;lbfgs;0.001;500;9.95;9.95
(100,);relu;lbfgs;0.001;1000;9.93;9.93
(100,);relu;lbfgs;0.01;200;9.95;9.95
(100,);relu;lbfgs;0.01;300;9.95;9.95
(100,);relu;lbfgs;0.01;500;9.93;9.93
(100,);relu;lbfgs;0.01;1000;9.93;9.93
(100,);relu;lbfgs;0.1;200;9.93;9.93
(100,);relu;lbfgs;0.1;300;9.93;9.93
(100,);relu;lbfgs;0.1;500;9.93;9.93
(100,);relu;lbfgs;0.1;1000;9.95;9.95
(100,);relu;lbfgs;0.2;200;9.95;9.95
(100,);relu;lbfgs;0.2;300;9.95;9.95
(100,);relu;lbfgs;0.2;500;9.95;9.95
(100,);relu;lbfgs;0.2;1000;9.98;9.98
(100,);relu;adam;0.001;200;9.95;9.95
(100,);relu;adam;0.001;300;9.95;9.95
(100,);relu;adam;0.001;500;9.95;9.95
(100,);relu;adam;0.001;1000;9.95;9.95
(100,);relu;adam;0.01;200;9.95;9.95
(100,);relu;adam;0.01;300;9.93;9.93
(100,);relu;adam;0.01;500;9.93;9.93
(100,);relu;adam;0.01;1000;9.93;9.93
(100,);relu;adam;0.1;200;9.95;9.95
(100,);relu;adam;0.1;300;9.95;9.95
(100,);relu;adam;0.1;500;9.93;9.93
(100,);relu;adam;0.1;1000;9.95;9.95
(100,);relu;adam;0.2;200;9.93;9.93
(100,);relu;adam;0.2;300;9.93;9.93
(100,);relu;adam;0.2;500;9.93;9.93
(100,);relu;adam;0.2;1000;9.95;9.95
(100,);relu;sgd;0.001;200;9.91;9.91
(100,);relu;sgd;0.001;300;9.91;9.91
(100,);relu;sgd;0.001;500;9.93;9.93
(100,);relu;sgd;0.001;1000;9.93;9.93
(100,);relu;sgd;0.01;200;9.95;9.95
(100,);relu;sgd;0.01;300;9.95;9.95
(100,);relu;sgd;0.01;500;9.93;9.93
(100,);relu;sgd;0.01;1000;9.95;9.95
(100,);relu;sgd;0.1;200;9.95;9.95
(100,);relu;sgd;0.1;300;9.95;9.95
(100,);relu;sgd;0.1;500;9.95;9.95
(100,);relu;sgd;0.1;1000;9.93;9.93
(100,);relu;sgd;0.2;200;9.93;9.93
(100,);relu;sgd;0.2;300;9.93;9.93
(100,);relu;sgd;0.2;500;9.93;9.93
(100,);relu;sgd;0.2;1000;9.93;9.93
(50,);identity;lbfgs;0.001;200;9.98;9.98
(50,);identity;lbfgs;0.001;300;9.98;9.98
(50,);identity;lbfgs;0.001;500;9.98;9.98
(50,);identity;lbfgs;0.001;1000;9.95;9.95
(50,);identity;lbfgs;0.01;200;9.98;9.98
(50,);identity;lbfgs;0.01;300;9.98;9.98
(50,);identity;lbfgs;0.01;500;9.98;9.98
(50,);identity;lbfgs;0.01;1000;9.98;9.98
(50,);identity;lbfgs;0.1;200;9.98;9.98
(50,);identity;lbfgs;0.1;300;9.98;9.98
(50,);identity;lbfgs;0.1;500;9.98;9.98
(50,);identity;lbfgs;0.1;1000;9.98;9.98
(50,);identity;lbfgs;0.2;200;9.98;9.98
(50,);identity;lbfgs;0.2;300;9.98;9.98
(50,);identity;lbfgs;0.2;500;9.98;9.98
(50,);identity;lbfgs;0.2;1000;9.98;9.98
(50,);identity;adam;0.001;200;9.95;9.95
(50,);identity;adam;0.001;300;9.95;9.95
(50,);identity;adam;0.001;500;9.95;9.95
(50,);identity;adam;0.001;1000;9.95;9.95
(50,);identity;adam;0.01;200;9.95;9.95
(50,);identity;adam;0.01;300;9.95;9.95
(50,);identity;adam;0.01;500;9.95;9.95
(50,);identity;adam;0.01;1000;9.95;9.95
(50,);identity;adam;0.1;200;9.98;9.98
(50,);identity;adam;0.1;300;9.86;9.86
(50,);identity;adam;0.1;500;9.95;9.95
(50,);identity;adam;0.1;1000;9.95;9.95
(50,);identity;adam;0.2;200;9.89;9.89
(50,);identity;adam;0.2;300;9.95;9.95
(50,);identity;adam;0.2;500;9.89;9.89
(50,);identity;adam;0.2;1000;9.84;9.84
(50,);identity;sgd;0.001;200;9.91;9.91
(50,);identity;sgd;0.001;300;9.93;9.93
(50,);identity;sgd;0.001;500;9.93;9.93
(50,);identity;sgd;0.001;1000;9.93;9.93
(50,);identity;sgd;0.01;200;9.95;9.95
(50,);identity;sgd;0.01;300;9.95;9.95
(50,);identity;sgd;0.01;500;9.95;9.95
(50,);identity;sgd;0.01;1000;9.98;9.98
(50,);identity;sgd;0.1;200;9.91;9.91
(50,);identity;sgd;0.1;300;9.95;9.95
(50,);identity;sgd;0.1;500;9.95;9.95
(50,);identity;sgd;0.1;1000;9.95;9.95
(50,);identity;sgd;0.2;200;9.91;9.91
(50,);identity;sgd;0.2;300;9.95;9.95
(50,);identity;sgd;0.2;500;9.95;9.95
(50,);identity;sgd;0.2;1000;9.95;9.95
(50,);logistic;lbfgs;0.001;200;9.95;9.95
(50,);logistic;lbfgs;0.001;300;9.95;9.95
(50,);logistic;lbfgs;0.001;500;9.95;9.95
(50,);logistic;lbfgs;0.001;1000;9.95;9.95
(50,);logistic;lbfgs;0.01;200;9.95;9.95
(50,);logistic;lbfgs;0.01;300;9.93;9.93
(50,);logistic;lbfgs;0.01;500;9.95;9.95
(50,);logistic;lbfgs;0.01;1000;9.95;9.95
(50,);logistic;lbfgs;0.1;200;9.95;9.95
(50,);logistic;lbfgs;0.1;300;9.95;9.95
(50,);logistic;lbfgs;0.1;500;9.95;9.95
(50,);logistic;lbfgs;0.1;1000;9.95;9.95
(50,);logistic;lbfgs;0.2;200;9.95;9.95
(50,);logistic;lbfgs;0.2;300;9.93;9.93
(50,);logistic;lbfgs;0.2;500;9.95;9.95
(50,);logistic;lbfgs;0.2;1000;9.95;9.95
(50,);logistic;adam;0.001;200;9.91;9.91
(50,);logistic;adam;0.001;300;9.93;9.93
(50,);logistic;adam;0.001;500;9.95;9.95
(50,);logistic;adam;0.001;1000;9.95;9.95
(50,);logistic;adam;0.01;200;9.93;9.93
(50,);logistic;adam;0.01;300;9.93;9.93
(50,);logistic;adam;0.01;500;9.93;9.93
(50,);logistic;adam;0.01;1000;9.93;9.93
(50,);logistic;adam;0.1;200;9.95;9.95
(50,);logistic;adam;0.1;300;9.95;9.95
(50,);logistic;adam;0.1;500;9.95;9.95
(50,);logistic;adam;0.1;1000;9.95;9.95
(50,);logistic;adam;0.2;200;9.95;9.95
(50,);logistic;adam;0.2;300;9.95;9.95
(50,);logistic;adam;0.2;500;9.95;9.95
(50,);logistic;adam;0.2;1000;9.95;9.95
(50,);logistic;sgd;0.001;200;9.89;9.89
(50,);logistic;sgd;0.001;300;9.91;9.91
(50,);logistic;sgd;0.001;500;9.89;9.89
(50,);logistic;sgd;0.001;1000;9.91;9.91
(50,);logistic;sgd;0.01;200;9.93;9.93
(50,);logistic;sgd;0.01;300;9.93;9.93
(50,);logistic;sgd;0.01;500;9.95;9.95
(50,);logistic;sgd;0.01;1000;9.95;9.95
(50,);logistic;sgd;0.1;200;9.93;9.93
(50,);logistic;sgd;0.1;300;9.93;9.93
(50,);logistic;sgd;0.1;500;9.95;9.95
(50,);logistic;sgd;0.1;1000;9.93;9.93
(50,);logistic;sgd;0.2;200;9.93;9.93
(50,);logistic;sgd;0.2;300;9.93;9.93
(50,);logistic;sgd;0.2;500;9.93;9.93
(50,);logistic;sgd;0.2;1000;9.93;9.93
(50,);tanh;lbfgs;0.001;200;9.91;9.91
(50,);tanh;lbfgs;0.001;300;9.91;9.91
(50,);tanh;lbfgs;0.001;500;9.93;9.93
(50,);tanh;lbfgs;0.001;1000;9.91;9.91
(50,);tanh;lbfgs;0.01;200;9.93;9.93
(50,);tanh;lbfgs;0.01;300;9.93;9.93
(50,);tanh;lbfgs;0.01;500;9.93;9.93
(50,);tanh;lbfgs;0.01;1000;9.93;9.93
(50,);tanh;lbfgs;0.1;200;9.93;9.93
(50,);tanh;lbfgs;0.1;300;9.93;9.93
(50,);tanh;lbfgs;0.1;500;9.91;9.91
(50,);tanh;lbfgs;0.1;1000;9.93;9.93
(50,);tanh;lbfgs;0.2;200;9.93;9.93
(50,);tanh;lbfgs;0.2;300;9.93;9.93
(50,);tanh;lbfgs;0.2;500;9.95;9.95
(50,);tanh;lbfgs;0.2;1000;9.91;9.91
(50,);tanh;adam;0.001;200;9.95;9.95
(50,);tanh;adam;0.001;300;9.93;9.93
(50,);tanh;adam;0.001;500;9.93;9.93
(50,);tanh;adam;0.001;1000;9.93;9.93
(50,);tanh;adam;0.01;200;9.93;9.93
(50,);tanh;adam;0.01;300;9.93;9.93
(50,);tanh;adam;0.01;500;9.93;9.93
(50,);tanh;adam;0.01;1000;9.93;9.93
(50,);tanh;adam;0.1;200;9.93;9.93
(50,);tanh;adam;0.1;300;9.93;9.93
(50,);tanh;adam;0.1;500;9.95;9.95
(50,);tanh;adam;0.1;1000;9.95;9.95
(50,);tanh;adam;0.2;200;9.95;9.95
(50,);tanh;adam;0.2;300;9.95;9.95
